地址ID,地址类型,楼层,架号,框号,包号
1,5,5,shelf3,box33,bag3
2,5,5,shelf3,box33,bag5
3,5,5,shelf3,box33,bag2
4,5,5,shelf5,fabric29,bag0
5,5,5,shelf3,box35,bag1
6,5,5,shelf3,box35,bag2
7,5,5,shelf3,box35,bag4
8,5,5,shelf3,box35,bag3
9,5,5,shelf5,fabric28,bag0
10,5,5,shelf3,box35,bag5
11,5,5,shelf3,box35,bag0
12,5,5,shelf3,box35,bag7
13,5,5,shelf3,box32,bag0
14,5,5,shelf3,box36,bag4
15,5,5,shelf3,box36,bag1
16,5,5,shelf3,box36,bag3
17,5,5,shelf3,box36,bag2
18,5,5,shelf5,box61,bag3
19,5,5,shelf5,box32,bag0
20,5,5,shelf3,box15,bag6
21,5,5,shelf3,fabric30,bag0
22,5,5,shelf3,box36,bag6
23,5,5,shelf3,box36,bag5
24,5,5,shelf3,box36,bag7
25,5,5,shelf3,box36,bag0
26,5,5,shelf3,box37,bag1
27,5,5,shelf3,box37,bag3
28,5,5,shelf3,box37,bag2
29,5,5,shelf3,box37,bag4
30,5,5,shelf3,box37,bag5
31,5,5,shelf4,box37,bag4
32,5,5,shelf3,box37,bag6
33,5,5,shelf5,fabric30,bag0
34,5,5,shelf3,box38,bag1
35,5,5,shelf3,box38,bag2
36,5,5,shelf3,box38,bag3
37,5,5,shelf3,box38,bag4
38,5,5,shelf3,box37,bag7
39,5,5,shelf3,box37,bag0
40,5,5,shelf3,box39,bag2
41,5,5,shelf3,box39,bag3
42,5,5,shelf3,box39,bag4
43,5,5,shelf3,box39,bag1
44,5,5,shelf3,box39,bag0
45,5,5,shelf3,box39,bag5
46,5,5,shelf5,fabric31,bag0
47,5,5,shelf3,box39,bag7
48,5,5,shelf3,box39,bag6
49,5,5,shelf5,fabric32,bag0
50,5,5,shelf5,fabric33,bag0
51,5,5,shelf3,box40,bag2
52,5,5,shelf3,box40,bag4
53,5,5,shelf1,box15,bag6
54,5,5,shelf3,box40,bag1
55,5,5,shelf3,box40,bag3
56,5,5,shelf3,box40,bag5
57,5,5,shelf3,box40,bag0
58,5,5,shelf3,box40,bag6
59,5,5,shelf3,box41,bag2
60,5,5,shelf3,box41,bag4
61,5,5,shelf3,box41,bag3
62,5,5,shelf3,box41,bag1
63,5,5,shelf3,box41,bag0
64,5,5,shelf4,box41,bag2
65,5,5,shelf3,box42,bag1
66,5,5,shelf3,box42,bag2
67,5,5,shelf5,fabric34,bag0
68,5,5,shelf3,box42,bag0
69,5,5,shelf5,fabric35,bag0
70,5,5,shelf3,box42,bag4
71,5,5,shelf4,box42,bag5
72,5,5,shelf4,box42,bag2
73,5,5,shelf4,box42,bag0
74,5,5,shelf4,box43,bag1
75,5,5,shelf4,box43,bag2
76,5,5,shelf4,box43,bag3
77,5,5,shelf5,box43,bag0
78,5,5,shelf5,box43,bag4
79,5,5,shelf5,fabric36,bag0
80,5,5,shelf5,box43,bag5
81,5,5,shelf5,box43,bag6
82,5,5,shelf5,box43,bag7
83,2,5,,BOX34,
84,2,5,shelf2,box25,bag2
85,2,5,shelf2,box25,bag3
86,2,5,shelf2,box25,bag1
87,2,5,shelf2,box25,bag4
88,2,5,shelf2,box25,bag5
89,2,5,shelf5,fabric21,0
90,2,5,shelf2,box25,bag6
91,2,5,shelf1,box15,bag2
92,2,5,shelf1,box15,bag3
93,2,5,shelf2,box25,bag7
94,2,5,shelf2,box15,bag3
95,2,5,shelf2,box26,bag0
96,2,5,shelf2,box16,bag8
97,2,5,shelf5,fabric22,bag0
98,2,5,shelf1,box15,bag4
99,2,5,shelf2,box27,bag1
100,2,5,shelf2,box27,bag2
101,2,5,shelf2,box27,bag3
102,2,5,shelf1,box15,bag1
103,2,5,shelf1,box10,bag1
104,2,5,shelf2,box27,bag6
105,2,5,shelf5,fabric23,bag0
106,2,5,shelf2,box27,bag4
107,2,5,shelf2,box27,bag5
108,2,5,shrlf2,box26,bag0
109,2,5,shelf2,box27,bag7
110,2,5,shelf2,box27,bag8
111,2,5,shelf2,box27,bag9
112,2,5,shelf2,box28,bag3
113,2,5,shelf2,box28,bag2
114,2,5,shelf2,box28,bag1
115,2,5,shelf2,box28,bag4
116,2,5,shelf2,box28,bag5
117,2,5,shelf2,box28,bag6
118,2,5,shelf2,box15,bag4
119,2,5,shelf5,box25,bag6
120,2,5,shelf5,box26,bag0
121,2,5,shelf2,box29,bag1
122,2,5,shelf2,box29,bag2
123,2,5,shelf2,box29,bag3
124,2,5,shelf2,box29,bag4
125,2,5,shelf2,box29,bag5
126,2,5,shelf2,box29,bag6
127,2,5,shelf2,fabric23,bag0
128,2,5,shelf2,box29,bag7
129,2,5,shelf5,fabric24,bag0
130,2,5,shelf2,box31,bag2
131,2,5,shelf2,box31,bag3
132,2,5,shelf2,box31,bag1
133,2,5,shelf2,box31,bag4
134,2,5,shelf2,box15,bag0
135,2,5,shelf2,box31,bag5
136,2,5,shelf5,fabric25,bag0
137,2,5,shelf2,box32,bag0
138,2,5,shelf2,box35,bag2
139,2,5,shelf2,box31,bag6
140,2,5,shelf2,box31,bag7
141,2,5,shelf3,box32,bag6
142,2,5,shelf2,fabric25,bag0
143,2,5,shelf2,box15,bag5
144,2,5,shelf3,box31,bag7
145,2,5,shelf3,box31,bag8
146,2,5,shelf3,box31,bag2
147,2,5,shelf3,box31,bag4
148,2,5,shelf2,box15,bag
149,2,5,shelf5,fabric26,bag0
150,2,5,shelf5,fabric27,bag0
151,2,5,shelf5,box33,bag1
152,2,5,shelf5,box33,bag2
153,2,5,shelf5,box33,bag3
154,2,5,shelf5,box33,bag4
155,2,5,shelf3,box33,bag6
156,2,5,shelf1,box60,bag1
157,2,5,shelf1,box60,bag2
158,2,5,shelf1,box60,bag3
159,2,5,shelf1,box60,bag4
160,2,5,shelf1,box60,bag5
161,2,5,shelf1,box60,bag6
162,2,5,shelf1,box60,bag7
163,2,5,shelf1,box61,bag1
164,2,5,shelf1,box61,bag2
165,2,5,shelf1,box61,bag3
166,2,5,shelf1,box61,bag4
167,2,5,shelf1,box61,bag5
168,2,5,shelf1,box61,bag6
169,2,5,shelf1,box61,bag7
170,2,5,shelf1,box62,bag1
171,2,5,shelf1,box62,bag2
172,2,5,shelf1,box62,bag3
173,2,5,shelf1,box62,bag4
174,2,5,shelf1,box62,bag5
175,2,5,shelf1,box62,bag6
176,2,5,shelf1,box62,bag7
177,2,5,shelf7,,
178,2,5,shelf5,box35,bag7
179,2,5,shelf5,box35,bag2
180,2,5,shlef1,box14,bag1
181,2,5,shlef1,box14,bag2
182,2,5,shlef1,box14,bag3
183,2,5,shlef1,box14,bag4
184,2,5,shlef1,box14,bag5
185,2,5,shlef1,box14,bag6
186,2,5,shlef1,box15,bag1
187,2,5,shlef1,box14,bag7
188,2,5,shlef1,box14,bag8
189,2,5,shlef1,box14,bag9
190,2,5,shlef1,fabric13,
191,2,5,shelf1,box16,bag2
192,2,5,shelf1,box16,bag3
193,2,5,shelf1,box16,bag4
194,2,5,shelf1,box16,bag6
195,2,5,shelf1,box16,bag7
196,2,5,shelf1,box16,bag8
197,2,5,shelf1,box16,bag9
198,2,5,shelf1,box16,bag10
199,2,5,shelf1,box16,bag11
200,2,5,shelf1,box16,bag12
201,2,5,shelf1,box17,bag1
202,2,5,shelf1,box17,bag2
203,2,5,shelf1,box17,bag3
204,2,5,shelf1,box17,bag4
205,2,5,shelf1,box17,bag5
206,2,5,shelf1,box17,bag6
207,2,5,shelf1,box17,bag7
208,2,5,shelf1,box17,bag8
209,2,5,shelf1,box17,bag9
210,2,5,shelf1,box17,bag10
211,2,5,shelf1,box17,
212,2,5,shelf1,box18,
213,2,5,shelf1,box19,bag1
214,2,5,shelf1,box19,bag2
215,2,5,shelf1,box19,bag4
216,2,5,shelf1,box19,bag5
217,2,5,shelf1,box19,bag6
218,2,5,shelf1,box19,
219,2,5,shelf1,box20,
220,2,5,shelf2,box21,bag1
221,2,5,shelf2,box21,bag2
222,2,5,shelf2,box21,bag3
223,2,5,shelf2,box21,bag4
224,2,5,shelf2,box21,bag5
225,2,5,shelf2,box21,bag6
226,2,5,shelf2,box21,bag7
227,2,5,shelf2,box21,bag0
228,2,5,shelf2,box22,bag0
229,2,5,shelf6,fabric14,
230,2,5,shelf1,box14,bag9
231,2,5,shelf1,box14,bag5
232,2,5,shelf5,fabric15,
233,2,5,shelf5,fabric16,
234,2,5,shelf5,fabric17,
235,2,5,shelf2,box23,bag1
236,2,5,shelf2,box23,bag2
237,2,5,shelf2,box23,bag3
238,2,5,shelf2,box23,bag4
239,2,5,shelf2,box23,bag5
240,2,5,shelf2,box23,bag6
241,2,5,shelf2,box23,
242,2,5,shelf5,fabric18,
243,2,5,shelf5,fabric19,
244,2,5,shelf5,fabric20,
245,2,5,shelf1,box14,bag10
246,2,5,shelf1,box14,bag4
247,2,5,shelf1,box14,bag2
248,2,5,shelf1,box14,bag6
249,2,5,shelf1,box14,bag3
250,2,5,shelf1,box14,bag7
251,2,5,shelf1,box5,bag1
252,2,5,shelf1,box16,bag5
253,2,5,shelf1,shelf1,bag4
254,2,5,shelf5,fabric14,
255,2,5,shelf5,fabric21,
256,2,5,shelf2,box24,bag1
257,2,5,shelf2,box24,bag2
258,2,5,shelf2,box24,bag3
259,2,5,shelf2,box24,bag4
260,2,5,shelf2,box24,bag0
261,2,5,shelf2,box24,bag5
262,2,5,shelf2,box24,bag6
263,2,5,shelf2,box24,bag7
264,2,5,shelf2,box24,bag8
265,2,5,shelf2,box24,bag9
266,2,5,shelf2,box15,bag2
267,5,5,shelf5,fabric21,bag0
268,3,4,样板后面仓库箱子里,H26 鹰盈,
269,3,4,样板后面仓库箱子里,H27 鹰盈,
270,3,4,样板后面仓库箱子里,H28 鹰盈,
271,3,4,样板后面仓库箱子里,H29 鹰盈,
272,3,4,样板后面仓库箱子里,H30 鹰盈,
273,3,4,样板后面仓库箱子里,H31 鹰盈,
274,3,4,样板后面仓库箱子里,H32 鹰盈,
275,3,4,样板后面仓库箱子里,H33 鹰盈,
276,3,4,样板后面仓库箱子里,H34 鹰盈,
277,3,4,样板后面仓库箱子里,H35 鹰盈,
278,3,4,样板后面仓库箱子里,H36 鹰盈,
279,3,4,样板后面仓库箱子里,H37 鹰盈,
280,3,4,样板后面仓库箱子里,H38 鹰盈,
281,3,4,样板后面仓库箱子里,H39 鹰盈,
282,3,4,样板后面仓库箱子里,H40 鹰盈,
283,3,4,样板后面仓库箱子里,H41 鹰盈,
284,3,4,样板后面仓库箱子里,H42 鹰盈,
285,3,4,样板后面仓库箱子里,H43 鹰盈,
286,3,5,shelf1,Box8/1,
287,3,5,shelf1,Box8/2,
288,3,5,shelf1,Box8/3,
289,3,5,shelf1,Box8/4,
290,3,5,shelf1,Box8/5,
291,3,5,shelf1,Box8/6,
292,3,5,shelf1,Box8/7,
293,3,5,shelf1,Box8/8,
294,3,5,shelf1,Box9/1,
295,3,5,shelf1,Box9/2,
296,3,5,shelf1,Box9/3,
297,3,5,shelf1,Box9/4,
298,3,5,shelf1,Box9/5,
299,3,5,shelf1,Box9/6,
300,3,5,shelf1,Box9/7,
301,3,5,shelf1,Box9,
302,3,5,shelf1,Box10/1,
303,3,5,shelf1,Box10/2,
304,3,5,shelf1,Box10/7,
305,3,5,shelf1,Box10/8,
306,3,5,shelf1,Box10/9,
