厂家ID,厂家,厂家地址,电话
1,锦发五金,轻纺城负一层18街UG3508档,15918790668
2,佳隆服饰,国际轻纺城负一层三期18街3537-3538档,13925003710
3,和鑫五金,国际轻纺城负一层3期9街3057,020-89103901
4,网图,,
5,1688,青岛誉诚工贸有限公司,
6,润通辅料,轻纺城负一层9街UG3095,13556181528
7,林丰绣品,国际轻纺城负一层5街1553,18718740396
8,恒莉刺绣,轻纺城负一层5街UG1603,13609012148
9,鑫岳辅料,轻纺城负一层8街UG1761,020-89666987
10,镇发花边,国际轻纺城负一层3063,13539867722
11,花小二,轻纺城负一层5街UG1570,13610103308
12,蓬勃,国际轻纺城负一层1街1015,13560008988
13,鑫倪饰品辅料行,国际轻纺城负一层3街1268,15980336690
14,新事达珠饰,国际轻纺城负一层5街1858,13143172676
15,联杰五金,国际轻纺城负一层9街3080,020-84451158
16,艺彩辅料,国际轻纺城负一层5街1578,15915712986
17,底布：七亿  刺绣：卓群,,
18,隆盛花边,国际轻纺城负一层5街1553,18814136016
19,多彩,,
20,卓群,,
21,德望织带,国际轻纺城负一层4街1375,020-89106090
22,林兴花边,瑞康3楼C022,15158529829
23,远程织带,国际轻纺城负一层6街1671,18826263386
24,泰山服饰配件行,国际轻纺城负一层1街1039,13719050430
25,永兴服装辅料,国际轻纺城负一层7街1787,020-89261479
26,信利饰品,国际轻纺城负一层6街1687,020-89107292
27,华丽花边行,中大市场康乐广场D2028-2051A,13632325669
28,致远钮扣,国际轻纺城负一层4街1502,020-89265067
29,广西博白,,
30,小郑,,
31,腾飞辅料,国际轻纺城负一层2街1170,15999909972
32,康氏花边,国际轻纺城负一层7街1720,15902099969
33,天缘花边,国际轻纺城负一层6街1675-1676,020-89260338
34,恒莉服装配料,国际轻纺城负一层5街1603,020-34137295
35,华丽花边行,中大市场康乐广场D2028-2051A,020-89440650
36,吉祥,,
37,传琪,国际轻纺城负一层1街1025,19502050826
38,欧美辅料,国际轻纺城负一层1街1120a,15322250932
39,辉煌鞋材,新濠畔商贸大厦首层A1003铺,13710322241
40,南武辅料,国际轻纺城负一层18街3539-3550,15818800902
41,兴之祥,国际轻纺城负一层4街1381,13929577346
42,大华,国际轻纺城负一层1街1038,15800033878
43,大华,国际轻纺城负一层1街1039,15800033879
44,鸿诚辅料,,
45,米诺纽扣,,
46,长盛花边,,
47,恒联顺,,
48,德利,,
49,锦发,国际轻纺城负一层三期18街3508,89263054
50,威廉纽扣,国际轻纺城负一层4街1501,15913188194
51,森荣五金服饰,国际轻纺城负一层3街1300,13719162858
52,网购（义乌市锐毅饰品）,,
53,点萌饰品,国际轻纺城负一层5街1596,19925845430
54,宝芬实业花边,中大瑞康路瑞康花边世界二楼B149档,13751890177
55,兴艺织带,国际轻纺城负一层5街1597,1812247771
56,今德鸿,,
57,达克鸿辅料,国际轻纺城负一层18街3期3531,13710699997
58,大家发,,
59,谢氏瑞诚花边,轻纺城负一层5街UG1562,18102655705
60,竹日昇手工饰品,国际轻纺城负一层1街1119,13822237986
61,高兴,国际轻纺城负一层7街1779,18567902612
62,宝芬实业花边,瑞康2楼B149,13751890177
63,三兴,,
64,盈通241215,负一层2街1175档,13922319093
65,E达241215,广州国际轻纺城负一层2街UG1195档,13538887911
66,纳奇,,
67,永成辅料,,
68,成展花边,瑞康2楼三街B128,15817111241
69,长盛花边,轻纺城负一层7街UG1785,13826268967
70,万事发,轻纺城负一层1街UG1098,15800014497
71,艾庆妮,轻纺城负一层3期UG3530,13660001406
72,雅宝辅料行,国际轻纺城负一层7街1731,15918835595
73,天亦,轻纺城负一层8街UG1822档,13719232366
74,网购,,
75,金鸿兴,轻纺城负一层3期UG3122档,1592055441
76,鑫启源（源鑫）,,
77,森荣五金服饰,轻纺城负一层3街UG1300,13711582388
78,捷城花边,轻纺城负一层UG1662,13924189813
79,新傲尚,轻纺城负一层2街1126档,19566800096
80,Q点饰品,轻纺城负一层2街1213档,13570339889
81,新芝饰品,中大老长江二楼B057-1,13060808853
82,德利饰品,轻纺城负一层2街1139档,13724894568
83,万绣莊,轻纺城负一层6街UG1637,15360536055
84,新世界,轻纺城负一层1街UG1028,18820103103
85,车间,,
86,正轩辅料,国际轻纺城负一层1街1032,13688868235
87,艾庆花边,国际轻纺城负一层3期3530,13660001406
88,英彩,轻纺城负一层7街UG1733,13726837672
89,新田花边,轻纺城负一层7街UG1728,13822881088
90,康氏花边,轻纺城负一层7街UG1720,15902099969
91,永亨,轻纺城负一层7街UG1716,15986427259
92,维尼纺,轻纺城负一层8街UG1799,15989000287
93,丽祥花边,轻纺城负一层7街UG1775,18819185588
94,恒发,轻纺城负一层7街UG1710,136600876
95,红牡丹,轻纺城负一层6街UG1673,13794371998
96,启达,轻纺城负一层6街UG1682,13826434320
97,嘉乐,轻纺城负一层8街UG1809,13719368181
98,搏亿,轻纺城负一层8街UG1761,13535356087
99,乐乐辅料,国际轻纺城负一层7街1837档,15099976759
100,百花,国际轻纺城负一层6街1635档,18011771245
101,美琦,国际轻纺城负一层5街UG1860,13719410666
102,和合,瑞康2楼B001,18927511368
103,南武辅料,国际轻纺城负一层18街3539-3550,13826004897
104,丽祥花边,轻纺城负一层7街UG1755,18819185588
105,洪发辅料,轻纺城负一层8街UG1810,15875339171
106,裕成,轻纺城负一层1三街UG1301档,13422008038
107,永程辅料,,
108,源锋绣品,国际轻纺城负一层6街1628,13556143888
109,百花,国际轻纺城负一层6街1635档 ,18011771245
110,米兰, 广州市越秀区泰康路G15-16,020-83221249
111,清桦,,15918648889
112,米兰,广州市越秀区泰康G15,020-83221249
113,梦柠娜,广州市越秀区泰康路111号泰康城四楼手扶梯旁3162-3175档,1814862 7947 /138 2841 8823
114,百花汇,瑞康2楼B060,18565562257
115,正轩辅料,轻纺城负一层1街1032,13688868235
116,灿盛花边,中大时尚汇广场二楼B077,13828416926
117,雅运辅料,中大老长江二楼B054,13660398822
118,德利,轻纺城负一层2街UG1139档,13724894568
119,顺兴,中大老长江二楼B074,13602235682
120,七彩花饰品,瑞康2楼B078,15818824308
121,亮片,中大老长江二楼B083,13728526559
122,米澜,瑞康G15-16,020-83221249
123,浩然饰品行,广州市泰康城广场3102,15918648889
124,庄氏花边,国际轻纺城负一层5街1608,020-89107415
125,恒联顺,国际轻纺城负一层18街3516-3517,15999932957
126,泽彪织绣,国际轻纺城负一层4街1338,13724027228
127,绣花是福零,,
128,威廉钮扣,国际轻纺城负一层4街1501,15913188194
129,凯奇饰品配件,国际轻纺城负一层2街1131,13226622887
130,德利饰品,国际轻纺城负一层2街1139,13724894568
131,恒达（欣盛）花边,瑞康1楼8号-1（南一街旁）,020-89104886
132,麦和服装辅料,国际轻纺城负一层3期18街3518,020-8188856
133,广州纱织绣原创新时尚民族风,国际轻纺城负一层7街1729,15800009067
134,德望织带,国际轻纺城负一层4街1375,13570996998
135,德望织带,国际轻纺城负一层4街1376,13570996999
136,德望织带,国际轻纺城负一层4街1377,13570997000
137,德望织带,国际轻纺城负一层4街1378,13570997001
138,德望织带,国际轻纺城负一层4街1379,13570997002
139,德望织带,国际轻纺城负一层4街1380,13570997003
140,德望织带,国际轻纺城负一层4街1381,13570997004
141,德望织带,国际轻纺城负一层4街1382,13570997005
142,德望织带,国际轻纺城负一层4街1383,13570997006
143,名飞服饰辅料,国际轻纺城负一层7街1776,13688873118
144,名飞服饰辅料,国际轻纺城负一层7街1777,13688873119
145,名飞服饰辅料,国际轻纺城负一层7街1778,13688873120
146,实信织带,国际轻纺城负一层7街1752,020-89262619
