商品ID,货号,商品类型,图片,备注,用途,类型
1,WJ15693,,,,,
2,WJ15694,,,,,
3,WJ15694-1,,,,,
4,WJ15695,,,,,
5,WJ15696,,,,,
6,WJ15697,,,,,
7,WJ15698,,,,,
8,WJ15699,,,,,
9,WJ15700,,,,,
10,WJ15700-1,,,,,
11,WJ15701,,,,,
12,WJ15701-1,,,,,
13,WJ15702,,,,,
14,WJ15703,,,,,
15,WJ15704,,,,,
16,WJ15705,,,,,
17,WJ15706,,,,,
18,WJ15707,,,,,
19,WJ15708,,,,,
20,WJ15708-1,,,,,
21,WJ15709,,,,,
22,WJ15710,,,,,
23,WJ15710-1,,,,,
24,WJ15711,,,,,
25,WJ15711-1,,,,,
26,WJ15712,,,,,
27,"WJ15713
 53*31mm",,,,,
28,"WJ15713
 78*48mm",,,,,
29,WJ15713-1,,,,,
30,WJ15714,,,,,
31,WJ15715,,,,,
32,WJ15716,,,,,
33,WJ15717,,,,,
34,WJ15718,,,,,
35,WJ15719,,,,,
36,WJ15719-1,,,,,
37,WJ15720,,,,,
38,WJ15721,,,,,
39,WJ15721-1,,,,,
40,WJ15664,,,,,
41,WJ15670,,,,,
42,HB50053,,,,,
43,HB50054,,,,,
44,HB50055,,,,,
45,HB50056,,,,,
46,HB50068,,,,,
47,HB50069,,,,,
48,HB50070,,,,,
49,HB50071,,,,,
50,HB50073,,,,,
51,HB50074,,,,,
52,HB50075,,,,,
53,HB50076,,,,,
54,HB50077,,,,,
55,HB50078,,,,,
56,HB50079,,,,,
57,HB50080,,,,,
58,HB50081,,,,,
59,HB50082,,,,,
60,HB50083,,,,,
61,HB50084,,,,,
62,HB50085,,,,,
63,HB50086,,,,,
64,HB50087,,,,,
65,HB50088,,,,,
66,HB50089,,,,,
67,HB50090,,,,,
68,HB50091,,,,,
69,HB50092,,,,,
70,HB50093,,,,,
71,HB50094,,,,,
72,HB50095,,,,,
73,HB50096,,,,,
74,HB50097,,,,,
75,HB50098,,,,,
76,HB50099,,,,,
77,HB50100,,,,,
78,HB50101,,,,,
79,HB50102,,,,,
80,HB50103,,,,,
81,HB50104,,,,,
82,HB50105,,,,,
83,HB50106,,,,,
84,HB50107,,,,,
85,HB50108,,,,,
86,HB50109,,,,,
87,HB50110,,,,,
88,HB50111,,,,,
89,HB50112,,,,,
90,HB50113,,,,,
91,HB50114,,,,,
92,HB50115,,,,,
93,HB50116,,,,,
94,HB50117,,,,,
95,HB50118,,,,,
96,HB50119,,,,,
97,HB50120,,,,,
98,HB50121,,,,,
99,HB50122,,,,,
100,HB50123,,,,,
101,HB50124,,,,,
102,HB50125,,,,,
103,HB50126,,,,,
104,HB50127,,,,,
105,HB50128,,,,,
106,HB50129,,,,,
107,HB50130,,,,,
108,HB50131,,,,,
109,HB50132,,,,,
110,HB50133,,,,,
111,HB50134,,,,,
112,HB50135,,,,,
113,HB50136,,,,,
114,HB50137,,,,,
115,HB50138,,,,,
116,HB50139,,,,,
117,HB50139-1,,,,,
118,HB50139-2,,,,,
119,HB50139-3,,,,,
120,HB50140,,,,,
121,HB50141,,,,,
122,ML16503,,,,,
